Team,Ranking
Houston,0.21177642003590488
Purdue,0.171061692468201
Arizona,0.16170307963056618
Iowa State,0.15233467697924177
BYU,0.152272139419616
Alabama,0.14976863620898767
Tennessee,0.14653653938812738
UConn,0.14269736087362317
Auburn,0.13984282904194448
UNC,0.13858865003251405
Illinois,0.13157803187538236
Wisconsin,0.12912507587806502
Michigan State,0.127087125663651
Baylor,0.12630216467203578
Marquette,0.12204719256484799
Duke,0.12015388607596068
Saint Mary's,0.1198684009677959
Kansas,0.11970123896544445
Creighton,0.11804485924395104
New Mexico,0.11782656501258514
Utah,0.11241030447704956
Oklahoma,0.11162792674448235
St. John's (NY),0.11049191330874682
Dayton,0.10938175383427953
Cincinnati,0.1093504040064836
TCU,0.10818341564252956
Gonzaga,0.10553452796909463
Texas Tech,0.10428139521099282
San Diego State,0.10367531295379194
Florida Atlantic,0.10149273949247319
Kentucky,0.10073748459499289
Texas,0.10019803155977818
Colorado,0.10010332600844703
Utah State,0.09945990319888422
Indiana State,0.0969902025834914
SMU,0.09661764242807788
Colorado State,0.09589984426161108
Clemson,0.09449919881513615
Mississippi State,0.0931989213614666
Villanova,0.0912609538588395
Wake Forest,0.09066449811003473
Xavier,0.09055528451722838
Washington State,0.09022480712920813
Florida,0.09020620440279131
Butler,0.08828297331811316
Providence,0.0868992903414045
Drake,0.0851832277753044
Texas A&M,0.08497584371792215
Iowa,0.0832625677020379
Washington,0.08187235085521592
Northwestern,0.08131090917161819
Oregon,0.07978117761560749
Seton Hall,0.07948246004968704
Virginia,0.07940674496544735
UCF,0.07921838995125696
Boise State,0.07906223416813146
South Carolina,0.07905390431355187
Ohio State,0.07902889303668638
Nebraska,0.07831026030968596
Virginia Tech,0.07762939097842629
Pitt,0.07705581338267269
Miami (FL),0.07664308254334316
Nevada,0.07592277020653063
North Texas,0.07268169870445078
San Francisco,0.07243143955088904
Maryland,0.06952687016679848
Ole Miss,0.06950339488306248
Bradley,0.06914180150372277
Florida State,0.06733994423685755
Princeton,0.06622822900627442
Memphis,0.06586706886452616
Richmond,0.06537217386294118
Kansas State,0.06520639364010881
Grand Canyon,0.06500362970101936
Georgia,0.06379894093857855
Syracuse,0.060620457943717745
NC State,0.06004748911626846
Minnesota,0.05860239598180528
Louisiana Tech,0.05736467122765977
James Madison,0.057238231447195795
LSU,0.05711247622378567
VCU,0.05657612069560442
UC-Irvine,0.05550230711293423
Boston College,0.05447875509821609
UMass,0.05420623240288073
St. Bonaventure,0.05412913615944211
Appalachian State,0.053247905924338854
McNeese State,0.051223204594083464
Michigan,0.05106671180216677
Rutgers,0.05104511993989537
St. Joseph's,0.05043284660935968
Penn State,0.04842295944078891
Stanford,0.04833361835141655
Akron,0.04803681499094583
UNLV,0.04795663989052812
Indiana,0.047881207907617504
Charlotte,0.045762375196722105
George Mason,0.04570001040894011
Duquesne,0.044816000616187505
USC,0.04253333391807617
Southern Illinois,0.040677315714579436
Cornell,0.03831864989297251
Northern Iowa,0.03778793802018314
Yale,0.03727013952389026
Loyola (IL),0.03633447549808334
UCLA,0.03618978798070311
Drexel,0.03587932147876472
California,0.03533157181278794
Missouri,0.035329763855824446
UC-San Diego,0.03522658739990474
Samford,0.03403501938564182
Santa Clara,0.03398856001080313
Arizona State,0.032503161244443295
Tulane,0.03178756553803135
Liberty,0.03168182807000517
Youngstown State,0.03124020657507979
Davidson,0.031111954977779136
